Pavarde        Vardas         Galutinis      
Pavarde2       Vardas2        4.88           
Pavarde3       Vardas3        3.44           
Pavarde4       Vardas4        2.20           
Pavarde5       Vardas5        3.76           
Pavarde6       Vardas6        4.04           
Pavarde11      Vardas11       4.88           
Pavarde16      Vardas16       3.16           
Pavarde18      Vardas18       3.72           
Pavarde20      Vardas20       4.84           
Pavarde22      Vardas22       3.76           
Pavarde27      Vardas27       3.36           
Pavarde30      Vardas30       4.96           
Pavarde33      Vardas33       4.36           
Pavarde34      Vardas34       2.68           
Pavarde35      Vardas35       2.04           
Pavarde36      Vardas36       4.56           
Pavarde39      Vardas39       3.76           
Pavarde40      Vardas40       3.88           
Pavarde41      Vardas41       4.64           
Pavarde43      Vardas43       4.56           
Pavarde45      Vardas45       3.20           
Pavarde47      Vardas47       4.88           
Pavarde48      Vardas48       4.24           
Pavarde49      Vardas49       4.88           
Pavarde50      Vardas50       4.40           
Pavarde54      Vardas54       2.28           
Pavarde55      Vardas55       3.04           
Pavarde57      Vardas57       4.12           
Pavarde60      Vardas60       3.28           
Pavarde61      Vardas61       4.16           
Pavarde62      Vardas62       3.32           
Pavarde63      Vardas63       4.96           
Pavarde64      Vardas64       2.68           
Pavarde66      Vardas66       4.16           
Pavarde67      Vardas67       4.96           
Pavarde71      Vardas71       3.24           
Pavarde73      Vardas73       4.60           
Pavarde76      Vardas76       3.72           
Pavarde77      Vardas77       3.40           
Pavarde78      Vardas78       3.36           
Pavarde79      Vardas79       3.96           
Pavarde81      Vardas81       3.16           
Pavarde84      Vardas84       4.16           
Pavarde88      Vardas88       3.68           
Pavarde92      Vardas92       2.76           
Pavarde94      Vardas94       2.52           
Pavarde95      Vardas95       1.96           
Pavarde97      Vardas97       4.68           
Pavarde100     Vardas100      4.20           
Pavarde101     Vardas101      2.20           
Pavarde107     Vardas107      2.36           
Pavarde108     Vardas108      3.96           
Pavarde111     Vardas111      2.64           
Pavarde113     Vardas113      4.88           
Pavarde119     Vardas119      3.08           
Pavarde120     Vardas120      4.36           
Pavarde124     Vardas124      4.32           
Pavarde125     Vardas125      2.84           
Pavarde127     Vardas127      4.24           
Pavarde128     Vardas128      4.84           
Pavarde131     Vardas131      4.24           
Pavarde133     Vardas133      3.20           
Pavarde135     Vardas135      4.44           
Pavarde137     Vardas137      3.16           
Pavarde141     Vardas141      4.68           
Pavarde147     Vardas147      4.08           
Pavarde149     Vardas149      2.52           
Pavarde152     Vardas152      2.72           
Pavarde156     Vardas156      4.36           
Pavarde157     Vardas157      4.08           
Pavarde160     Vardas160      2.68           
Pavarde162     Vardas162      4.88           
Pavarde163     Vardas163      3.48           
Pavarde165     Vardas165      4.52           
Pavarde168     Vardas168      4.88           
Pavarde171     Vardas171      3.88           
Pavarde178     Vardas178      3.68           
Pavarde180     Vardas180      4.12           
Pavarde181     Vardas181      3.00           
Pavarde182     Vardas182      4.20           
Pavarde191     Vardas191      4.00           
Pavarde198     Vardas198      4.92           
Pavarde199     Vardas199      2.52           
Pavarde200     Vardas200      2.92           
Pavarde202     Vardas202      3.64           
Pavarde204     Vardas204      4.88           
Pavarde205     Vardas205      3.24           
Pavarde206     Vardas206      3.60           
Pavarde207     Vardas207      3.20           
Pavarde209     Vardas209      2.36           
Pavarde211     Vardas211      4.00           
Pavarde218     Vardas218      4.24           
Pavarde219     Vardas219      4.96           
Pavarde220     Vardas220      2.28           
Pavarde221     Vardas221      3.76           
Pavarde222     Vardas222      3.28           
Pavarde223     Vardas223      3.60           
Pavarde225     Vardas225      4.24           
Pavarde232     Vardas232      2.60           
Pavarde233     Vardas233      3.36           
Pavarde234     Vardas234      3.16           
Pavarde235     Vardas235      3.36           
Pavarde237     Vardas237      1.24           
Pavarde244     Vardas244      3.60           
Pavarde252     Vardas252      3.28           
Pavarde254     Vardas254      3.88           
Pavarde255     Vardas255      2.52           
Pavarde257     Vardas257      4.04           
Pavarde258     Vardas258      4.60           
Pavarde262     Vardas262      4.12           
Pavarde263     Vardas263      4.24           
Pavarde265     Vardas265      4.36           
Pavarde268     Vardas268      3.84           
Pavarde269     Vardas269      3.88           
Pavarde274     Vardas274      3.64           
Pavarde275     Vardas275      4.12           
