Pavarde        Vardas         Galutinis      
Pavarde1       Vardas1        7.72           
Pavarde7       Vardas7        6.48           
Pavarde8       Vardas8        7.36           
Pavarde9       Vardas9        8.04           
Pavarde10      Vardas10       5.16           
Pavarde12      Vardas12       8.64           
Pavarde13      Vardas13       5.48           
Pavarde14      Vardas14       6.44           
Pavarde15      Vardas15       6.80           
Pavarde17      Vardas17       6.24           
Pavarde19      Vardas19       8.12           
Pavarde21      Vardas21       7.20           
Pavarde23      Vardas23       6.80           
Pavarde24      Vardas24       5.60           
Pavarde25      Vardas25       6.16           
Pavarde26      Vardas26       7.48           
Pavarde28      Vardas28       7.04           
Pavarde29      Vardas29       6.40           
Pavarde31      Vardas31       6.36           
Pavarde32      Vardas32       6.64           
Pavarde37      Vardas37       6.96           
Pavarde38      Vardas38       7.68           
Pavarde42      Vardas42       6.44           
Pavarde44      Vardas44       8.00           
Pavarde46      Vardas46       6.08           
Pavarde51      Vardas51       6.28           
Pavarde52      Vardas52       6.36           
Pavarde53      Vardas53       7.84           
Pavarde56      Vardas56       5.96           
Pavarde58      Vardas58       8.04           
Pavarde59      Vardas59       5.56           
Pavarde65      Vardas65       5.88           
Pavarde68      Vardas68       7.12           
Pavarde69      Vardas69       6.56           
Pavarde70      Vardas70       8.68           
Pavarde72      Vardas72       6.08           
Pavarde74      Vardas74       8.56           
Pavarde75      Vardas75       6.00           
Pavarde80      Vardas80       5.80           
Pavarde82      Vardas82       6.44           
Pavarde83      Vardas83       6.48           
Pavarde85      Vardas85       6.36           
Pavarde86      Vardas86       5.76           
Pavarde87      Vardas87       5.80           
Pavarde89      Vardas89       7.56           
Pavarde90      Vardas90       6.28           
Pavarde91      Vardas91       6.76           
Pavarde93      Vardas93       8.32           
Pavarde96      Vardas96       7.44           
Pavarde98      Vardas98       5.80           
Pavarde99      Vardas99       7.60           
Pavarde102     Vardas102      6.16           
Pavarde103     Vardas103      8.24           
Pavarde104     Vardas104      7.48           
Pavarde105     Vardas105      5.16           
Pavarde106     Vardas106      5.88           
Pavarde109     Vardas109      6.36           
Pavarde110     Vardas110      7.84           
Pavarde112     Vardas112      6.48           
Pavarde114     Vardas114      5.28           
Pavarde115     Vardas115      8.52           
Pavarde116     Vardas116      7.40           
Pavarde117     Vardas117      7.28           
Pavarde118     Vardas118      5.56           
Pavarde121     Vardas121      5.32           
Pavarde122     Vardas122      7.28           
Pavarde123     Vardas123      6.28           
Pavarde126     Vardas126      5.28           
Pavarde129     Vardas129      5.44           
Pavarde130     Vardas130      6.88           
Pavarde132     Vardas132      6.60           
Pavarde134     Vardas134      5.80           
Pavarde136     Vardas136      7.52           
Pavarde138     Vardas138      7.80           
Pavarde139     Vardas139      5.60           
Pavarde140     Vardas140      6.80           
Pavarde142     Vardas142      6.64           
Pavarde143     Vardas143      7.44           
Pavarde144     Vardas144      7.44           
Pavarde145     Vardas145      7.88           
Pavarde146     Vardas146      7.48           
Pavarde148     Vardas148      6.56           
Pavarde150     Vardas150      5.24           
Pavarde151     Vardas151      8.48           
Pavarde153     Vardas153      6.56           
Pavarde154     Vardas154      7.72           
Pavarde155     Vardas155      7.48           
Pavarde158     Vardas158      7.04           
Pavarde159     Vardas159      6.84           
Pavarde161     Vardas161      5.08           
Pavarde164     Vardas164      6.76           
Pavarde166     Vardas166      5.80           
Pavarde167     Vardas167      7.40           
Pavarde169     Vardas169      7.20           
Pavarde170     Vardas170      7.52           
Pavarde172     Vardas172      6.20           
Pavarde173     Vardas173      6.48           
Pavarde174     Vardas174      6.08           
Pavarde175     Vardas175      5.44           
Pavarde176     Vardas176      5.48           
Pavarde177     Vardas177      8.20           
Pavarde179     Vardas179      7.36           
Pavarde183     Vardas183      5.84           
Pavarde184     Vardas184      6.08           
Pavarde185     Vardas185      6.76           
Pavarde186     Vardas186      6.88           
Pavarde187     Vardas187      8.56           
Pavarde188     Vardas188      8.28           
Pavarde189     Vardas189      6.88           
Pavarde190     Vardas190      6.40           
Pavarde192     Vardas192      7.60           
Pavarde193     Vardas193      7.04           
Pavarde194     Vardas194      8.00           
Pavarde195     Vardas195      5.68           
Pavarde196     Vardas196      7.88           
Pavarde197     Vardas197      5.96           
Pavarde201     Vardas201      6.08           
Pavarde203     Vardas203      8.48           
Pavarde208     Vardas208      7.92           
Pavarde210     Vardas210      8.24           
Pavarde212     Vardas212      7.48           
Pavarde213     Vardas213      5.32           
Pavarde214     Vardas214      5.72           
